Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1678251218.7671826,21,1678251218,738624334,IMU1_Frame,0,0,0,,0.09030559743626713,0.03648976705265298,0.7607915211962604,0.6416460529357304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.330619,-0.140728,-0.22389,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.25,-0.609,-9.378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2236,-0.4101,0.6245,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.261,-005.197,+009.911,-00.2236,-00.4101,+00.6245,-06.250,-00.609,-09.378,+00.330619,-00.140728,-00.223890*6A\r\n'"
1678251218.8112266,22,1678251218,763618230,IMU1_Frame,0,0,0,,0.08878797057637085,0.03653089883584372,0.7613017775766172,0.6412501798595127,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.47961,0.273828,0.20976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.516,-0.148,-10.189,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2268,-0.4067,0.6384,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.350,-005.068,+009.797,-00.2268,-00.4067,+00.6384,-06.516,-00.148,-10.189,-00.479610,+00.273828,+00.209764*68\r\n'"
1678251218.8112364,23,1678251218,788507699,IMU1_Frame,0,0,0,,0.08299320560354018,0.03236393649123837,0.7597818262023313,0.6440467995503821,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.510182,0.155972,-0.23917,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.139,-0.667,-11.151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2272,-0.4256,0.6551,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.044,-004.843,+009.012,-00.2272,-00.4256,+00.6551,-07.139,-00.667,-11.151,-00.510182,+00.155972,-00.239178*62\r\n'"
1678251218.8592527,24,1678251218,814608812,IMU1_Frame,0,0,0,,0.07965291828886889,0.03193354700051386,0.7599718604739365,0.6442658088644906,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1042,0.261877,0.12979,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.03,-0.669,-12.498,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2244,-0.4425,0.7024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.071,-004.584,+008.723,-00.2244,-00.4425,+00.7024,-08.030,-00.669,-12.498,+00.104200,+00.261877,+00.129791*66\r\n'"
1678251218.8592684,25,1678251218,838796615,IMU1_Frame,0,0,0,,0.0771449906368667,0.038462349997493955,0.7609025360839251,0.6431147865143199,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.248102,0.669908,-0.05793,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.626,-1.303,-10.906,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2352,-0.4423,0.7618,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+099.281,-003.895,+009.098,-00.2352,-00.4423,+00.7618,-09.626,-01.303,-10.906,+00.248102,+00.669908,-00.057935*6F\r\n'"
1678251218.907384,26,1678251218,864544868,IMU1_Frame,0,0,0,,0.06965470763101188,0.046903138090177134,0.7579578655312049,0.646875715591111,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.006384,0.882435,-0.69888,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.73,-1.183,-8.958,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2683,-0.4482,0.798,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+098.833,-002.574,+009.287,-00.2683,-00.4482,+00.7980,-09.730,-01.183,-08.958,-00.006384,+00.882435,-00.698887*67\r\n'"
1678251218.9074411,27,1678251218,889118432,IMU1_Frame,0,0,0,,0.061363780295395305,0.05231749766955474,0.7525077115593435,0.6536279598893964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.09022,0.586678,-0.73934,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.717,-0.58,-7.871,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.273,-0.4837,0.7525,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.935,-001.373,+009.149,-00.2730,-00.4837,+00.7525,-07.717,-00.580,-07.871,-00.090220,+00.586678,-00.739340*64\r\n'"
1678251218.9513862,28,1678251218,914671182,IMU1_Frame,0,0,0,,0.055570892495973745,0.053582650522185984,0.7489950600168962,0.6580632002630935,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.603193,0.250914,-0.20471,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.196,-3.8,-7.68,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2194,-0.5239,0.7046,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+097.339,-000.729,+008.825,-00.2194,-00.5239,+00.7046,-07.196,-03.800,-07.680,-00.603193,+00.250914,-00.204719*63\r\n'"
1678251218.9557605,29,1678251218,938700914,IMU1_Frame,0,0,0,,0.05935263553688575,0.05831894717677082,0.7456341797315331,0.6611397999448394,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.411366,0.009743,-0.04815,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.76,1.728,-10.303,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1442,-0.5346,0.6696,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+096.820,-000.653,+009.524,-00.1442,-00.5346,+00.6696,-03.760,+01.728,-10.303,+00.411366,+00.009743,-00.048158*68\r\n'"
1678251218.9994574,30,1678251218,964505672,IMU1_Frame,0,0,0,,0.05701995261826505,0.06272572781799553,0.744045243310287,0.6627298725577786,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.179181,0.793851,-0.47852,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.439,-2.219,-10.598,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0907,-0.5159,0.644,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+096.608,-000.098,+009.725,-00.0907,-00.5159,+00.6440,-04.439,-02.219,-10.598,-00.179181,+00.793851,-00.478527*6D\r\n'"
